City,Num of fights,Lat,Lon,City,Num of fights,Text
Las Vegas,1216,36.1,-115.1,Las Vegas,1216,"City : Las Vegas , Num of fights: 1216"
Rio de Janeiro,117,-22.54,-43.15,Rio de Janeiro,117,"City : Rio de Janeiro , Num of fights: 117"
London,114,42.59,-81.14,London,114,"City : London , Num of fights: 114"
Chicago,81,41.51,-87.41,Chicago,81,"City : Chicago , Num of fights: 81"
Montreal,81,45.3,-73.35,Montreal,81,"City : Montreal , Num of fights: 81"
Atlantic City,80,39.36292,-74.428623,Atlantic City,80,"City : Atlantic City , Num of fights: 80"
Sao Paulo,80,-23.34,-46.38,Sao Paulo,80,"City : Sao Paulo , Num of fights: 80"
Los Angeles,79,34.05,-118.22,Los Angeles,79,"City : Los Angeles , Num of fights: 79"
Newark,78,40.43,-74.1,Newark,78,"City : Newark , Num of fights: 78"
Toronto,74,43.4,-79.22,Toronto,74,"City : Toronto , Num of fights: 74"
Denver,74,39.43,-104.59,Denver,74,"City : Denver , Num of fights: 74"
Stockholm,72,59.23,18,Stockholm,72,"City : Stockholm , Num of fights: 72"
Anaheim,72,33.836594,-117.914299,Anaheim,72,"City : Anaheim , Num of fights: 72"
Dallas,63,32.47,-96.47,Dallas,63,"City : Dallas , Num of fights: 63"
Boston,59,42.19,-71.05,Boston,59,"City : Boston , Num of fights: 59"
Nashville,59,36.1,-86.46,Nashville,59,"City : Nashville , Num of fights: 59"
Houston,57,29.45,-95.23,Houston,57,"City : Houston , Num of fights: 57"
Sydney,56,-33.55,151.17,Sydney,56,"City : Sydney , Num of fights: 56"
Saitama,55,35.861632,139.645546,Saitama,55,"City : Saitama , Num of fights: 55"
Birmingham,52,52.3,-1.55,Birmingham,52,"City : Birmingham , Num of fights: 52"
Sacramento,50,38.34,-121.28,Sacramento,50,"City : Sacramento , Num of fights: 50"
San Jose,47,9.59,-84.04,San Jose,47,"City : San Jose , Num of fights: 47"
Mexico City,47,19.28,-99.09,Mexico City,47,"City : Mexico City , Num of fights: 47"
Atlanta,45,33.748188,-84.390865,Atlanta,45,"City : Atlanta , Num of fights: 45"
New Orleans,45,29.58,-90.05,New Orleans,45,"City : New Orleans , Num of fights: 45"
Vancouver,44,49.13,-123.06,Vancouver,44,"City : Vancouver , Num of fights: 44"
Manchester,44,53.479709,-2.245446,Manchester,44,"City : Manchester , Num of fights: 44"
Charlotte,38,35.05,-80.5,Charlotte,38,"City : Charlotte , Num of fights: 38"
Orlando,38,28.3,-81.22,Orlando,38,"City : Orlando , Num of fights: 38"
Fortaleza,37,-3.734021,-38.522958,Fortaleza,37,"City : Fortaleza , Num of fights: 37"
Melbourne,37,-37.49,144.58,Melbourne,37,"City : Melbourne , Num of fights: 37"
Phoenix,36,33.3,-112.05,Phoenix,36,"City : Phoenix , Num of fights: 36"
Milwaukee,36,43.03,-87.57,Milwaukee,36,"City : Milwaukee , Num of fights: 36"
Philadelphia,35,40,-75.09,Philadelphia,35,"City : Philadelphia , Num of fights: 35"
Hollywood,35,26.012231,-80.159217,Hollywood,35,"City : Hollywood , Num of fights: 35"
Seattle,35,47.38,-122.2,Seattle,35,"City : Seattle , Num of fights: 35"
Pittsburgh,34,40.26,-80,Pittsburgh,34,"City : Pittsburgh , Num of fights: 34"
Austin,34,30.17,-97.44,Austin,34,"City : Austin , Num of fights: 34"
New York City,34,40.713012,-74.00713,New York City,34,"City : New York City , Num of fights: 34"
Broomfield,33,39.920142,-105.070556,Broomfield,33,"City : Broomfield , Num of fights: 33"
Fairfax,33,38.841532,-77.307912,Fairfax,33,"City : Fairfax , Num of fights: 33"
Brooklyn,32,40.69246,-73.990381,Brooklyn,32,"City : Brooklyn , Num of fights: 32"
Uncasville,32,41.491703,-72.090118,Uncasville,32,"City : Uncasville , Num of fights: 32"
San Diego,31,32.43,-117.09,San Diego,31,"City : San Diego , Num of fights: 31"
Dublin,30,53.26,-6.15,Dublin,30,"City : Dublin , Num of fights: 30"
Columbus,29,39.59,-82.59,Columbus,29,"City : Columbus , Num of fights: 29"
Macau,27,22.11,113.33,Macau,27,"City : Macau , Num of fights: 27"
